City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
155,Hobart,AU,2021-11-26 00:44:38,-42.8794,147.3294,61.27,61,75,1.99,broken clouds
156,Fortuna,US,2021-11-26 00:44:39,40.5982,-124.1573,57.36,73,1,3.0,clear sky
157,Hofn,IS,2021-11-26 00:44:39,64.2539,-15.2082,31.96,52,0,17.83,clear sky
158,Busselton,AU,2021-11-26 00:37:49,-33.65,115.3333,74.08,47,83,8.03,broken clouds
159,Hailar,CN,2021-11-26 00:44:40,49.2,119.7,4.78,93,28,6.31,scattered clouds
160,Krasnyy Chikoy,RU,2021-11-26 00:44:40,50.3643,108.7512,10.72,91,26,3.44,scattered clouds
161,Severo-Kurilsk,RU,2021-11-26 00:44:41,50.6789,156.125,36.01,83,77,6.96,broken clouds
162,Carnarvon,AU,2021-11-26 00:44:41,-24.8667,113.6333,91.47,16,0,16.11,clear sky
163,Pokotylivka,UA,2021-11-26 00:44:41,49.9153,36.1772,26.74,86,75,7.0,broken clouds
164,Barrow,US,2021-11-26 00:40:31,71.2906,-156.7887,-9.38,77,20,16.11,few clouds
165,Gobabis,NA,2021-11-26 00:44:42,-22.45,18.9667,68.18,10,0,7.45,clear sky
166,Champerico,GT,2021-11-26 00:44:43,14.3,-91.9167,84.74,75,90,4.05,overcast clouds
167,Mahajanga,MG,2021-11-26 00:44:43,-15.7167,46.3167,77.02,83,20,3.44,few clouds
168,Cockburn Town,TC,2021-11-26 00:41:12,21.4612,-71.1419,78.53,67,63,17.65,broken clouds
169,Torbay,CA,2021-11-26 00:40:31,47.6666,-52.7314,52.29,99,90,14.97,light intensity drizzle
170,Dikson,RU,2021-11-26 00:44:44,73.5069,80.5464,-1.84,97,100,3.56,overcast clouds
171,Sola,VU,2021-11-26 00:44:44,-13.8833,167.55,84.87,79,75,0.0,broken clouds
172,Vardo,NO,2021-11-26 00:39:06,70.3705,31.1107,25.52,68,97,11.97,overcast clouds
173,Esperance,AU,2021-11-26 00:40:27,-33.8667,121.9,62.44,59,1,8.16,clear sky
174,Muroto,JP,2021-11-26 00:44:46,33.2833,134.15,55.44,56,2,7.29,clear sky
175,Morgan City,US,2021-11-26 00:44:46,29.6994,-91.2068,68.04,100,20,0.0,few clouds
176,Ust-Omchug,RU,2021-11-26 00:44:46,61.15,149.6333,-25.91,98,60,3.06,broken clouds
177,Bethel,US,2021-11-26 00:37:47,41.3712,-73.414,52.57,58,90,0.0,overcast clouds
178,Port Elizabeth,ZA,2021-11-26 00:44:47,-33.918,25.5701,64.69,72,20,20.71,few clouds
179,Kaitangata,NZ,2021-11-26 00:37:47,-46.2817,169.8464,58.08,72,100,7.96,overcast clouds
180,Yellowknife,CA,2021-11-26 00:38:56,62.456,-114.3525,11.41,91,90,11.5,light snow
181,Longyearbyen,SJ,2021-11-26 00:37:57,78.2186,15.6401,10.24,61,75,16.11,broken clouds
182,Verkhoyansk,RU,2021-11-26 00:45:48,67.5447,133.385,-38.22,99,46,1.16,scattered clouds
183,Albion,US,2021-11-26 00:45:49,42.2431,-84.753,36.41,90,90,10.36,overcast clouds
184,Atambua,ID,2021-11-26 00:45:49,-9.1061,124.8925,83.64,67,19,2.17,few clouds
185,Port Blair,IN,2021-11-26 00:45:50,11.6667,92.75,79.18,82,87,2.28,overcast clouds
186,Hirara,JP,2021-11-26 00:45:50,24.8,125.2833,75.06,68,40,17.27,scattered clouds
187,Cayenne,GF,2021-11-26 00:45:51,4.9333,-52.3333,81.09,83,90,1.01,overcast clouds
188,Micheweni,TZ,2021-11-26 00:45:51,-4.9667,39.8333,80.76,79,100,7.4,overcast clouds
189,Narasannapeta,IN,2021-11-26 00:45:52,18.4167,84.05,72.82,89,25,5.7,scattered clouds
190,Tura,IN,2021-11-26 00:45:52,25.5198,90.2201,57.47,64,0,3.36,clear sky
191,Cidreira,BR,2021-11-26 00:45:53,-30.1811,-50.2056,69.31,97,100,8.61,overcast clouds
192,Abu Kamal,SY,2021-11-26 00:45:53,34.4506,40.9171,60.04,50,5,7.61,clear sky
193,Boende,CD,2021-11-26 00:45:54,-0.2167,20.8667,71.17,94,100,1.81,overcast clouds
194,The Valley,AI,2021-11-26 00:45:55,18.217,-63.0578,77.83,76,100,12.03,overcast clouds
195,Voh,NC,2021-11-26 00:45:55,-20.9667,164.7,87.35,48,28,2.89,scattered clouds
196,Big Spring,US,2021-11-26 00:45:56,32.2504,-101.4787,49.28,33,1,1.99,clear sky
197,Ayr,GB,2021-11-26 00:45:56,55.4627,-4.6339,48.18,87,75,19.57,light rain
198,Acarau,BR,2021-11-26 00:45:57,-2.8856,-40.12,80.96,76,63,14.65,broken clouds
199,Olafsvik,IS,2021-11-26 00:45:57,64.8945,-23.7142,31.77,64,3,12.73,clear sky
200,Kavieng,PG,2021-11-26 00:45:58,-2.5744,150.7967,85.55,65,63,5.86,broken clouds
201,Honiara,SB,2021-11-26 00:45:58,-9.4333,159.95,83.7,72,95,2.68,overcast clouds
202,Nizwa,OM,2021-11-26 00:45:59,22.9333,57.5333,68.38,55,4,1.39,clear sky
203,Bosaso,SO,2021-11-26 00:45:59,11.2842,49.1816,77.2,83,61,0.74,broken clouds
204,Coihaique,CL,2021-11-26 00:46:00,-45.5752,-72.0662,51.75,54,75,6.91,broken clouds
205,Xichang,CN,2021-11-26 00:46:00,27.8964,102.2634,50.23,82,100,1.1,overcast clouds
206,Asau,RO,2021-11-26 00:46:01,46.4333,26.4,31.75,71,1,6.17,clear sky
207,Doha,QA,2021-11-26 00:45:36,25.2867,51.5333,73.38,68,0,6.91,clear sky
208,Springdale,US,2021-11-26 00:42:25,36.1867,-94.1288,39.31,68,1,6.91,clear sky
209,Asosa,ET,2021-11-26 00:46:02,10.0667,34.5333,65.59,35,35,6.55,scattered clouds
210,Glenwood Springs,US,2021-11-26 00:46:02,39.5505,-107.3248,38.43,47,1,4.61,clear sky
211,Lensk,RU,2021-11-26 00:46:03,60.7253,114.9278,-1.71,97,98,3.67,overcast clouds
212,Dingle,PH,2021-11-26 00:37:43,10.9995,122.6711,82.53,83,100,6.46,overcast clouds
213,Hamilton,US,2021-11-26 00:34:56,39.1834,-84.5333,44.35,90,90,5.01,overcast clouds
214,Clyde River,CA,2021-11-26 00:46:03,70.4692,-68.5914,-1.71,99,100,3.24,overcast clouds
215,Zhangjiakou,CN,2021-11-26 00:46:04,40.81,114.8794,27.63,61,1,4.0,clear sky
216,Airai,TL,2021-11-26 00:37:58,-8.9266,125.4092,73.78,64,25,0.87,scattered clouds
217,Nguruka,TZ,2021-11-26 00:46:05,-5.1092,31.0419,64.92,91,100,2.28,overcast clouds
218,Sonqor,IR,2021-11-26 00:46:05,34.7837,47.6004,38.21,45,100,3.29,overcast clouds
219,Mujiayingzi,CN,2021-11-26 00:46:06,42.1167,118.7833,25.59,60,0,5.99,clear sky
220,Coquimbo,CL,2021-11-26 00:43:28,-29.9533,-71.3436,58.73,88,90,8.05,overcast clouds
221,Mahebourg,MU,2021-11-26 00:46:06,-20.4081,57.7,73.69,88,40,3.44,scattered clouds
222,Lebu,CL,2021-11-26 00:47:07,-37.6167,-73.65,54.09,92,39,13.31,scattered clouds
223,Koumac,NC,2021-11-26 00:47:07,-20.5667,164.2833,82.15,61,11,5.32,few clouds
224,Labuhan,ID,2021-11-26 00:47:08,-6.8844,112.2051,82.71,75,100,10.49,overcast clouds
225,Rockland,US,2021-11-26 00:47:08,41.1668,-74.0496,51.75,52,100,3.87,overcast clouds
226,Vidalia,US,2021-11-26 00:46:12,32.2177,-82.4135,57.27,76,1,0.0,clear sky
227,Lompoc,US,2021-11-26 00:47:09,34.6391,-120.4579,65.7,69,20,9.22,few clouds
228,Dimbokro,CI,2021-11-26 00:47:09,6.6451,-4.7048,75.11,89,7,3.53,clear sky
229,Tunceli,TR,2021-11-26 00:47:10,39.1083,39.5471,47.26,94,100,1.92,overcast clouds
230,Shimoda,JP,2021-11-26 00:47:10,34.6667,138.95,61.16,53,0,19.73,clear sky
231,Vostok,RU,2021-11-26 00:47:11,46.4856,135.8833,11.89,93,100,4.52,light snow
232,Sechura,PE,2021-11-26 00:47:11,-5.5569,-80.8222,68.23,77,65,13.76,broken clouds
233,Westport,US,2021-11-26 00:42:12,41.1415,-73.3579,53.85,60,90,1.99,overcast clouds
234,Ilulissat,GL,2021-11-26 00:47:12,69.2167,-51.1,23.02,58,100,20.71,overcast clouds
235,Meulaboh,ID,2021-11-26 00:47:12,4.1363,96.1285,77.74,88,89,3.91,overcast clouds
236,Svetlogorsk,BY,2021-11-26 00:47:13,52.6333,29.7333,31.8,80,16,14.52,few clouds
237,Brownsville,US,2021-11-26 00:47:13,25.9018,-97.4975,69.75,87,90,13.0,moderate rain
238,Asfi,MA,2021-11-26 00:47:14,32.2994,-9.2372,61.65,63,87,2.42,overcast clouds
239,Keita,NE,2021-11-26 00:47:14,14.7551,5.7749,78.8,19,0,6.15,clear sky
240,Pacific Grove,US,2021-11-26 00:45:02,36.6177,-121.9166,67.89,52,1,1.99,clear sky
241,Samarai,PG,2021-11-26 00:47:15,-10.6167,150.6667,85.37,69,98,13.35,overcast clouds
242,Jaumave,MX,2021-11-26 00:47:16,23.4167,-99.3833,69.94,83,91,3.06,overcast clouds
243,Cairns,AU,2021-11-26 00:47:16,-16.9167,145.7667,87.75,58,100,12.66,overcast clouds
244,Rio Gallegos,AR,2021-11-26 00:39:16,-51.6226,-69.2181,50.05,40,20,27.63,few clouds
245,Nueve De Julio,AR,2021-11-26 00:47:17,-35.4444,-60.8831,67.71,73,0,2.73,clear sky
246,Touba,CI,2021-11-26 00:47:17,8.2833,-7.6833,72.81,41,34,0.94,scattered clouds
247,Kargasok,RU,2021-11-26 00:47:18,59.0556,80.8572,0.3,96,19,8.34,few clouds
248,Tasiilaq,GL,2021-11-26 00:47:18,65.6145,-37.6368,26.76,54,100,9.64,overcast clouds
249,Changzhou,CN,2021-11-26 00:47:19,31.7833,119.9667,55.99,52,0,3.58,clear sky
250,College,US,2021-11-26 00:47:19,64.8569,-147.8028,-2.78,69,90,4.61,light snow
251,Zeya,RU,2021-11-26 00:47:20,53.75,127.2667,18.07,68,100,1.36,overcast clouds
252,Matamoros,MX,2021-11-26 00:47:20,25.5333,-103.25,77.11,29,75,5.75,broken clouds
253,Geraldton,AU,2021-11-26 00:37:51,-28.7667,114.6,90.01,12,0,24.16,clear sky
254,Srednekolymsk,RU,2021-11-26 00:47:21,67.45,153.6833,-34.11,100,21,2.19,few clouds
255,Angoche,MZ,2021-11-26 00:47:21,-16.2325,39.9086,78.13,74,99,11.39,overcast clouds
256,Vila Franca Do Campo,PT,2021-11-26 00:47:22,37.7167,-25.4333,59.41,72,68,16.02,broken clouds
257,Gwanda,ZW,2021-11-26 00:47:22,-20.9333,29.0,62.06,81,100,13.91,overcast clouds
258,Belomorsk,RU,2021-11-26 00:47:23,64.5232,34.7668,26.58,93,100,12.19,light snow
259,Pevek,RU,2021-11-26 00:47:23,69.7008,170.3133,-15.5,100,100,2.64,overcast clouds
