City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
257,Kaitangata,NZ,2021-11-23 05:47:11,-46.2817,169.8464,286.23,66,88,1.63
258,Boyolangu,ID,2021-11-23 05:47:12,-8.1181,111.8935,302.34,68,98,1.08
259,Tocache,PE,2021-11-23 05:47:13,-8.1842,-76.5125,293.44,97,65,0.2
260,Ca Mau,VN,2021-11-23 05:47:13,9.1769,105.15,303.88,66,70,5.07
261,Castro,BR,2021-11-23 05:47:14,-24.7911,-50.0119,288.8,63,62,1.18
262,Meadow Lake,US,2021-11-23 05:47:14,34.8014,-106.5436,279.91,46,10,0.96
263,Asosa,ET,2021-11-23 05:47:15,10.0667,34.5333,295.23,44,48,3.24
264,Tubuala,PA,2021-11-23 05:47:15,9.5167,-79.0333,298.33,81,99,3.6
265,Cidreira,BR,2021-11-23 05:47:16,-30.1811,-50.2056,294.25,65,2,2.98
266,Sisimiut,GL,2021-11-23 05:47:16,66.9395,-53.6735,263.19,78,11,6.69
267,Portland,US,2021-11-23 05:42:42,45.5234,-122.6762,280.99,93,90,0.45
268,Sur,OM,2021-11-23 05:47:17,22.5667,59.5289,300.83,36,62,3.28
269,Leh,IN,2021-11-23 05:47:17,34.1667,77.5833,267.79,40,0,0.86
270,Salta,AR,2021-11-23 05:44:22,-24.7859,-65.4117,297.31,60,20,0.89
271,Arraial Do Cabo,BR,2021-11-23 05:48:18,-22.9661,-42.0278,293.07,73,0,3.09
272,Latung,PH,2021-11-23 05:48:19,5.5,120.8833,302.44,72,76,3.55
273,Saskylakh,RU,2021-11-23 05:48:19,71.9167,114.0833,241.64,98,10,4.04
274,Inuvik,CA,2021-11-23 05:48:20,68.3499,-133.7218,249.71,73,90,1.54
275,Kamenka,RU,2021-11-23 05:48:20,51.3223,42.7678,270.79,70,100,2.62
276,Kosh-Agach,RU,2021-11-23 05:48:21,50.0,88.6667,267.0,50,100,1.12
277,Sobolevo,RU,2021-11-23 05:48:21,54.4299,31.8996,268.25,72,73,2.26
278,Magadi,IN,2021-11-23 05:48:22,12.9667,77.2333,301.51,66,95,3.06
279,Asyut,EG,2021-11-23 05:48:23,27.181,31.1837,286.25,58,0,2.03
280,Ardakan,IR,2021-11-23 05:48:23,32.31,54.0175,287.36,71,2,1.44
281,Salamanca,ES,2021-11-23 05:41:07,40.8333,-6.0,275.37,100,100,3.25
282,Laela,TZ,2021-11-23 05:48:24,-8.5667,32.05,297.46,40,27,2.17
283,Ballina,AU,2021-11-23 05:48:25,-28.8667,153.5667,299.13,70,40,4.63
284,Ellensburg,US,2021-11-23 05:48:26,46.9965,-120.5479,274.53,93,90,0.0
285,Prince Rupert,CA,2021-11-23 05:48:26,54.3161,-130.3201,278.98,82,90,4.63
286,Amapa,BR,2021-11-23 05:48:26,1.0,-52.0,294.6,100,60,0.65
287,Birao,CF,2021-11-23 05:48:27,10.2849,22.7882,295.69,25,56,4.45
288,Mount Gambier,AU,2021-11-23 05:48:27,-37.8333,140.7667,291.1,72,90,4.63
289,Margate,GB,2021-11-23 05:48:28,51.3813,1.3862,279.43,90,54,5.82
290,Sitka,US,2021-11-23 05:48:28,57.0531,-135.33,276.09,75,90,4.12
291,Tabou,CI,2021-11-23 05:48:29,4.423,-7.3528,298.65,84,7,1.12
292,Mulege,MX,2021-11-23 05:48:29,26.8833,-111.9833,292.28,70,100,1.89
293,Det Udom,TH,2021-11-23 05:48:30,14.906,105.0784,303.73,56,61,5.3
294,Sharjah,AE,2021-11-23 05:47:51,25.3573,55.4033,306.14,39,0,1.54
